SKU,Product_Name,Category,Variant,Family,Brand,Model,Size_ft,Diameter_in,Color,Type,Components_Included,MSRP_USD,Cost_USD,Weight_lb,Packaged_LxWxH_in,Vendor,Vendor_SKU,Tags,Handle,Status,Description_Short
"POOL-HS-072","Hastings Steel (Galvanized) Stock Tank — 6 ft","Pools","","POOL-HS","Hastings","", "6","72","Galvanized","Physical","Tank only","399","","95","74x74x26","Hastings","","pool,stock-tank","pool-hs-6ft","draft","Heavy-duty stock tank for pool/spa conversion."
"POOL-HS-096","Hastings Steel (Galvanized) Stock Tank — 8 ft","Pools","","POOL-HS","Hastings","", "8","96","Galvanized","Physical","Tank only","599","","145","98x98x28","Hastings","","pool,stock-tank","pool-hs-8ft","draft","Heavy-duty stock tank for pool/spa conversion."
"POOL-HS-120","Hastings Steel (Galvanized) Stock Tank — 10 ft","Pools","","POOL-HS","Hastings","", "10","120","Galvanized","Physical","Tank only","899","","220","122x122x28","Hastings","","pool,stock-tank","pool-hs-10ft","draft","Heavy-duty stock tank for pool/spa conversion."
"POOL-HP-072","Hastings Poly Stock Tank — 6 ft","Pools","","POOL-HP","Hastings","", "6","72","Black","Physical","Tank only","449","","95","74x74x26","Hastings","","pool,stock-tank","pool-hp-6ft","draft","Heavy-duty stock tank for pool/spa conversion."
"POOL-HP-096","Hastings Poly Stock Tank — 8 ft","Pools","","POOL-HP","Hastings","", "8","96","Black","Physical","Tank only","679","","145","98x98x28","Hastings","","pool,stock-tank","pool-hp-8ft","draft","Heavy-duty stock tank for pool/spa conversion."
"POOL-HP-120","Hastings Poly Stock Tank — 10 ft","Pools","","POOL-HP","Hastings","", "10","120","Black","Physical","Tank only","999","","220","122x122x28","Hastings","","pool,stock-tank","pool-hp-10ft","draft","Heavy-duty stock tank for pool/spa conversion."
"POOL-GEN-072","Generic HDPE (Imported) Stock Tank — 6 ft","Pools","","POOL-GEN","Generic","", "6","72","Black","Physical","Tank only","349","","95","74x74x26","Various","","pool,stock-tank","pool-gen-6ft","draft","Heavy-duty stock tank for pool/spa conversion."
"POOL-GEN-096","Generic HDPE (Imported) Stock Tank — 8 ft","Pools","","POOL-GEN","Generic","", "8","96","Black","Physical","Tank only","549","","145","98x98x28","Various","","pool,stock-tank","pool-gen-8ft","draft","Heavy-duty stock tank for pool/spa conversion."
"POOL-GEN-120","Generic HDPE (Imported) Stock Tank — 10 ft","Pools","","POOL-GEN","Generic","", "10","120","Black","Physical","Tank only","799","","220","122x122x28","Various","","pool,stock-tank","pool-gen-10ft","draft","Heavy-duty stock tank for pool/spa conversion."
"COV-INF-072","Inflatable Thermal Cover — 6 ft","Covers","Inflatable","COV-INF","HeatHalo","", "6","72","Black","Physical","Cover/lid only","129","","5","24x24x10","In-house","","cover,lid,insulated","cov-inf-6ft","draft","Sized cover to retain heat and reduce evaporation."
"COV-INF-096","Inflatable Thermal Cover — 8 ft","Covers","Inflatable","COV-INF","HeatHalo","", "8","96","Black","Physical","Cover/lid only","179","","5","24x24x10","In-house","","cover,lid,insulated","cov-inf-8ft","draft","Sized cover to retain heat and reduce evaporation."
"COV-INF-120","Inflatable Thermal Cover — 10 ft","Covers","Inflatable","COV-INF","HeatHalo","", "10","120","Black","Physical","Cover/lid only","229","","5","24x24x10","In-house","","cover,lid,insulated","cov-inf-10ft","draft","Sized cover to retain heat and reduce evaporation."
"COV-RIG-072","Rigid Insulated Lid — 6 ft","Covers","Rigid","COV-RIG","HeatHalo","", "6","72","Black","Physical","Cover/lid only","369","","18","38x38x6","In-house","","cover,lid,insulated","cov-rig-6ft","draft","Sized cover to retain heat and reduce evaporation."
"COV-RIG-096","Rigid Insulated Lid — 8 ft","Covers","Rigid","COV-RIG","HeatHalo","", "8","96","Black","Physical","Cover/lid only","469","","18","38x38x6","In-house","","cover,lid,insulated","cov-rig-8ft","draft","Sized cover to retain heat and reduce evaporation."
"COV-RIG-120","Rigid Insulated Lid — 10 ft","Covers","Rigid","COV-RIG","HeatHalo","", "10","120","Black","Physical","Cover/lid only","599","","18","38x38x6","In-house","","cover,lid,insulated","cov-rig-10ft","draft","Sized cover to retain heat and reduce evaporation."
"HH-BP-072-100","HeatHalo Base Pad — 6 ft","Insulation","Base Pad","HH-BP","HeatHalo","", "6","72","Black","Physical","XLPE pad laminated to recycled rubber anti-slip","149","","10","26x26x4","In-house","","insulation,base-pad","heathalo-base-pad-6ft","draft","Circular insulated base pad to reduce ground losses and add grip."
"HH-BP-096-100","HeatHalo Base Pad — 8 ft","Insulation","Base Pad","HH-BP","HeatHalo","", "8","96","Black","Physical","XLPE pad laminated to recycled rubber anti-slip","199","","14","34x34x4","In-house","","insulation,base-pad","heathalo-base-pad-8ft","draft","Circular insulated base pad to reduce ground losses and add grip."
"HH-BP-120-100","HeatHalo Base Pad — 10 ft","Insulation","Base Pad","HH-BP","HeatHalo","", "10","120","Black","Physical","XLPE pad laminated to recycled rubber anti-slip","249","","18","42x42x4","In-house","","insulation,base-pad","heathalo-base-pad-10ft","draft","Circular insulated base pad to reduce ground losses and add grip."
"HH-SW-072-10-CH","HeatHalo SoftWrap — 6 ft — Charcoal","Insulation","SoftWrap","HH-SW","HeatHalo","", "6","72","Charcoal","Physical","Wrap shell, XLPE foam gores, 6x cam straps, service panel, weep grommets","599","","20","26x20x16","In-house","","insulation,wrap,softwrap","heathalo-softwrap-6ft-charcoal","draft","Fitted closed-cell insulation wrap with marine-grade shell."
"HH-SW-072-10-SA","HeatHalo SoftWrap — 6 ft — Sand","Insulation","SoftWrap","HH-SW","HeatHalo","", "6","72","Sand","Physical","Wrap shell, XLPE foam gores, 6x cam straps, service panel, weep grommets","599","","20","26x20x16","In-house","","insulation,wrap,softwrap","heathalo-softwrap-6ft-sand","draft","Fitted closed-cell insulation wrap with marine-grade shell."
"HH-SW-072-10-FO","HeatHalo SoftWrap — 6 ft — Forest","Insulation","SoftWrap","HH-SW","HeatHalo","", "6","72","Forest","Physical","Wrap shell, XLPE foam gores, 6x cam straps, service panel, weep grommets","599","","20","26x20x16","In-house","","insulation,wrap,softwrap","heathalo-softwrap-6ft-forest","draft","Fitted closed-cell insulation wrap with marine-grade shell."
"HH-SW-096-10-CH","HeatHalo SoftWrap — 8 ft — Charcoal","Insulation","SoftWrap","HH-SW","HeatHalo","", "8","96","Charcoal","Physical","Wrap shell, XLPE foam gores, 6x cam straps, service panel, weep grommets","799","","28","30x22x16","In-house","","insulation,wrap,softwrap","heathalo-softwrap-8ft-charcoal","draft","Fitted closed-cell insulation wrap with marine-grade shell."
"HH-SW-096-10-SA","HeatHalo SoftWrap — 8 ft — Sand","Insulation","SoftWrap","HH-SW","HeatHalo","", "8","96","Sand","Physical","Wrap shell, XLPE foam gores, 6x cam straps, service panel, weep grommets","799","","28","30x22x16","In-house","","insulation,wrap,softwrap","heathalo-softwrap-8ft-sand","draft","Fitted closed-cell insulation wrap with marine-grade shell."
"HH-SW-096-10-FO","HeatHalo SoftWrap — 8 ft — Forest","Insulation","SoftWrap","HH-SW","HeatHalo","", "8","96","Forest","Physical","Wrap shell, XLPE foam gores, 6x cam straps, service panel, weep grommets","799","","28","30x22x16","In-house","","insulation,wrap,softwrap","heathalo-softwrap-8ft-forest","draft","Fitted closed-cell insulation wrap with marine-grade shell."
"HH-SW-120-10-CH","HeatHalo SoftWrap — 10 ft — Charcoal","Insulation","SoftWrap","HH-SW","HeatHalo","", "10","120","Charcoal","Physical","Wrap shell, XLPE foam gores, 6x cam straps, service panel, weep grommets","999","","36","34x24x16","In-house","","insulation,wrap,softwrap","heathalo-softwrap-10ft-charcoal","draft","Fitted closed-cell insulation wrap with marine-grade shell."
"HH-SW-120-10-SA","HeatHalo SoftWrap — 10 ft — Sand","Insulation","SoftWrap","HH-SW","HeatHalo","", "10","120","Sand","Physical","Wrap shell, XLPE foam gores, 6x cam straps, service panel, weep grommets","999","","36","34x24x16","In-house","","insulation,wrap,softwrap","heathalo-softwrap-10ft-sand","draft","Fitted closed-cell insulation wrap with marine-grade shell."
"HH-SW-120-10-FO","HeatHalo SoftWrap — 10 ft — Forest","Insulation","SoftWrap","HH-SW","HeatHalo","", "10","120","Forest","Physical","Wrap shell, XLPE foam gores, 6x cam straps, service panel, weep grommets","999","","36","34x24x16","In-house","","insulation,wrap,softwrap","heathalo-softwrap-10ft-forest","draft","Fitted closed-cell insulation wrap with marine-grade shell."
"HH-PW-072-10-CH","HeatHalo PanelWrap — 6 ft — Charcoal","Insulation","PanelWrap","HH-PW","HeatHalo","", "6","72","Charcoal","Physical","Curved rigid panels, quick-latch hardware, edge gaskets","899","","26","30x24x12","In-house","","insulation,wrap,panelwrap","heathalo-panelwrap-6ft-charcoal","draft","Rigid cladded insulation with spa-grade look."
"HH-PW-072-10-SA","HeatHalo PanelWrap — 6 ft — Sand","Insulation","PanelWrap","HH-PW","HeatHalo","", "6","72","Sand","Physical","Curved rigid panels, quick-latch hardware, edge gaskets","899","","26","30x24x12","In-house","","insulation,wrap,panelwrap","heathalo-panelwrap-6ft-sand","draft","Rigid cladded insulation with spa-grade look."
"HH-PW-072-10-FO","HeatHalo PanelWrap — 6 ft — Forest","Insulation","PanelWrap","HH-PW","HeatHalo","", "6","72","Forest","Physical","Curved rigid panels, quick-latch hardware, edge gaskets","899","","26","30x24x12","In-house","","insulation,wrap,panelwrap","heathalo-panelwrap-6ft-forest","draft","Rigid cladded insulation with spa-grade look."
"HH-PW-096-10-CH","HeatHalo PanelWrap — 8 ft — Charcoal","Insulation","PanelWrap","HH-PW","HeatHalo","", "8","96","Charcoal","Physical","Curved rigid panels, quick-latch hardware, edge gaskets","1099","","34","34x26x12","In-house","","insulation,wrap,panelwrap","heathalo-panelwrap-8ft-charcoal","draft","Rigid cladded insulation with spa-grade look."
"HH-PW-096-10-SA","HeatHalo PanelWrap — 8 ft — Sand","Insulation","PanelWrap","HH-PW","HeatHalo","", "8","96","Sand","Physical","Curved rigid panels, quick-latch hardware, edge gaskets","1099","","34","34x26x12","In-house","","insulation,wrap,panelwrap","heathalo-panelwrap-8ft-sand","draft","Rigid cladded insulation with spa-grade look."
"HH-PW-096-10-FO","HeatHalo PanelWrap — 8 ft — Forest","Insulation","PanelWrap","HH-PW","HeatHalo","", "8","96","Forest","Physical","Curved rigid panels, quick-latch hardware, edge gaskets","1099","","34","34x26x12","In-house","","insulation,wrap,panelwrap","heathalo-panelwrap-8ft-forest","draft","Rigid cladded insulation with spa-grade look."
"HH-PW-120-10-CH","HeatHalo PanelWrap — 10 ft — Charcoal","Insulation","PanelWrap","HH-PW","HeatHalo","", "10","120","Charcoal","Physical","Curved rigid panels, quick-latch hardware, edge gaskets","1399","","44","38x28x12","In-house","","insulation,wrap,panelwrap","heathalo-panelwrap-10ft-charcoal","draft","Rigid cladded insulation with spa-grade look."
"HH-PW-120-10-SA","HeatHalo PanelWrap — 10 ft — Sand","Insulation","PanelWrap","HH-PW","HeatHalo","", "10","120","Sand","Physical","Curved rigid panels, quick-latch hardware, edge gaskets","1399","","44","38x28x12","In-house","","insulation,wrap,panelwrap","heathalo-panelwrap-10ft-sand","draft","Rigid cladded insulation with spa-grade look."
"HH-PW-120-10-FO","HeatHalo PanelWrap — 10 ft — Forest","Insulation","PanelWrap","HH-PW","HeatHalo","", "10","120","Forest","Physical","Curved rigid panels, quick-latch hardware, edge gaskets","1399","","44","38x28x12","In-house","","insulation,wrap,panelwrap","heathalo-panelwrap-10ft-forest","draft","Rigid cladded insulation with spa-grade look."
"HH-SP-072-05-CH","HeatHalo SlimPro — 6 ft — Charcoal","Insulation","SlimPro","HH-SP","HeatHalo","", "6","72","Charcoal","Physical","Aerogel/XLPE laminate, low-profile shell, cam straps","799","","18","24x18x12","In-house","","insulation,wrap,slimpro","heathalo-slimpro-6ft-charcoal","draft","Low-profile premium insulation with aerogel layer."
"HH-SP-072-05-SA","HeatHalo SlimPro — 6 ft — Sand","Insulation","SlimPro","HH-SP","HeatHalo","", "6","72","Sand","Physical","Aerogel/XLPE laminate, low-profile shell, cam straps","799","","18","24x18x12","In-house","","insulation,wrap,slimpro","heathalo-slimpro-6ft-sand","draft","Low-profile premium insulation with aerogel layer."
"HH-SP-072-05-FO","HeatHalo SlimPro — 6 ft — Forest","Insulation","SlimPro","HH-SP","HeatHalo","", "6","72","Forest","Physical","Aerogel/XLPE laminate, low-profile shell, cam straps","799","","18","24x18x12","In-house","","insulation,wrap,slimpro","heathalo-slimpro-6ft-forest","draft","Low-profile premium insulation with aerogel layer."
"HH-SP-096-05-CH","HeatHalo SlimPro — 8 ft — Charcoal","Insulation","SlimPro","HH-SP","HeatHalo","", "8","96","Charcoal","Physical","Aerogel/XLPE laminate, low-profile shell, cam straps","999","","24","28x20x12","In-house","","insulation,wrap,slimpro","heathalo-slimpro-8ft-charcoal","draft","Low-profile premium insulation with aerogel layer."
"HH-SP-096-05-SA","HeatHalo SlimPro — 8 ft — Sand","Insulation","SlimPro","HH-SP","HeatHalo","", "8","96","Sand","Physical","Aerogel/XLPE laminate, low-profile shell, cam straps","999","","24","28x20x12","In-house","","insulation,wrap,slimpro","heathalo-slimpro-8ft-sand","draft","Low-profile premium insulation with aerogel layer."
"HH-SP-096-05-FO","HeatHalo SlimPro — 8 ft — Forest","Insulation","SlimPro","HH-SP","HeatHalo","", "8","96","Forest","Physical","Aerogel/XLPE laminate, low-profile shell, cam straps","999","","24","28x20x12","In-house","","insulation,wrap,slimpro","heathalo-slimpro-8ft-forest","draft","Low-profile premium insulation with aerogel layer."
"HH-SP-120-05-CH","HeatHalo SlimPro — 10 ft — Charcoal","Insulation","SlimPro","HH-SP","HeatHalo","", "10","120","Charcoal","Physical","Aerogel/XLPE laminate, low-profile shell, cam straps","1299","","30","32x22x12","In-house","","insulation,wrap,slimpro","heathalo-slimpro-10ft-charcoal","draft","Low-profile premium insulation with aerogel layer."
"HH-SP-120-05-SA","HeatHalo SlimPro — 10 ft — Sand","Insulation","SlimPro","HH-SP","HeatHalo","", "10","120","Sand","Physical","Aerogel/XLPE laminate, low-profile shell, cam straps","1299","","30","32x22x12","In-house","","insulation,wrap,slimpro","heathalo-slimpro-10ft-sand","draft","Low-profile premium insulation with aerogel layer."
"HH-SP-120-05-FO","HeatHalo SlimPro — 10 ft — Forest","Insulation","SlimPro","HH-SP","HeatHalo","", "10","120","Forest","Physical","Aerogel/XLPE laminate, low-profile shell, cam straps","1299","","30","32x22x12","In-house","","insulation,wrap,slimpro","heathalo-slimpro-10ft-forest","draft","Low-profile premium insulation with aerogel layer."
"HH-ACC-072-NC","Neoprene Collar Kit — 6 ft","Accessories","Neoprene Collar","HH-ACC","HeatHalo","", "6","72","Black","Physical","2x pre-punched collars, clamp bands, adhesive","39","","1","10x8x2","In-house","","accessory,neoprene","neoprene-collar-kit-6ft","draft","Clean, insulated finish around pump/heater bulkheads."
"HH-ACC-096-NC","Neoprene Collar Kit — 8 ft","Accessories","Neoprene Collar","HH-ACC","HeatHalo","", "8","96","Black","Physical","2x pre-punched collars, clamp bands, adhesive","39","","1","10x8x2","In-house","","accessory,neoprene","neoprene-collar-kit-8ft","draft","Clean, insulated finish around pump/heater bulkheads."
"HH-ACC-120-NC","Neoprene Collar Kit — 10 ft","Accessories","Neoprene Collar","HH-ACC","HeatHalo","", "10","120","Black","Physical","2x pre-punched collars, clamp bands, adhesive","49","","1","10x8x2","In-house","","accessory,neoprene","neoprene-collar-kit-10ft","draft","Clean, insulated finish around pump/heater bulkheads."
"HEAT-HMX-055","HeatMax Inline Heater — 5.5kW 240V","Heating","5.5kW 240V","HEAT-HMX","HeatMax","5.5kW240V","","","Black","Physical","Inline heater unit, unions, flow switch","469","","12","20x10x10","HeatMax","","heater,inline,spa","heatmax-inline-heater-5.5kw-240v","draft","HeatMax 5.5kW inline spa heater with flow switch."
"HEAT-HMX-110","HeatMax Inline Heater — 11kW 240V","Heating","11kW 240V","HEAT-HMX","HeatMax","11kW240V","","","Black","Physical","Inline heater unit, unions, flow switch","599","","16","20x10x10","HeatMax","","heater,inline,spa","heatmax-inline-heater-11kw-240v","draft","HeatMax 11kW inline spa heater with flow switch."
"SWG-INT-07","Intex Krystal Clear SWG — 7 g/hr","Water Care","7 g/hr","SWG-INTEX","Intex","", "","","Gray","Physical","SWG unit, control head, cell, power cord","289","","12","20x16x14","Intex","","swg,saltwater","intex-swg-7gph","draft","Saltwater chlorination system sized for small pools/spas."
"SWG-INT-15","Intex Krystal Clear SWG — 15 g/hr","Water Care","15 g/hr","SWG-INTEX","Intex","", "","","Gray","Physical","SWG unit, control head, cell, power cord","369","","12","20x16x14","Intex","","swg,saltwater","intex-swg-15gph","draft","Saltwater chlorination system sized for small pools/spas."
"FILTER-SAND-14","Intex Sand Filter Pump 14\" — 0.5 HP (2100 GPH)","Filtration","14\" 0.5HP","FILTER-SAND","Intex","14","","","Gray","Physical","Pump/filter unit, multiport valve, hoses, fittings","279","","38","28x20x20","Intex","","filter,sand,pump","intex-sand-filter-14","draft","Sand filter pump with multiport valve for clear water."
"FILTER-SAND-16","Intex Sand Filter Pump 16\" — 0.75 HP (3000 GPH)","Filtration","16\" 0.75HP","FILTER-SAND","Intex","16","","","Gray","Physical","Pump/filter unit, multiport valve, hoses, fittings","349","","48","28x20x20","Intex","","filter,sand,pump","intex-sand-filter-16","draft","Sand filter pump with multiport valve for clear water."
"BUNDLE-START-072","Starter Circulation Kit — 6 ft","Bundles","Starter","BUNDLE-START","","", "6","72","","Bundle","Stock tank (Generic HDPE), Intex Sand Filter 14\", basic hose/fittings","707","","100","Multiple cartons","","","bundle,starter","bundle-starter-6ft","draft","Everything to get water circulating fast."
"BUNDLE-START-096","Starter Circulation Kit — 8 ft","Bundles","Starter","BUNDLE-START","","", "8","96","","Bundle","Stock tank (Generic HDPE), Intex Sand Filter 14\", basic hose/fittings","907","","140","Multiple cartons","","","bundle,starter","bundle-starter-8ft","draft","Everything to get water circulating fast."
"BUNDLE-START-120","Starter Circulation Kit — 10 ft","Bundles","Starter","BUNDLE-START","","", "10","120","","Bundle","Stock tank (Generic HDPE), Intex Sand Filter 14\", basic hose/fittings","1157","","180","Multiple cartons","","","bundle,starter","bundle-starter-10ft","draft","Everything to get water circulating fast."
"BUNDLE-HEAT-072","Heat Kit — 6 ft","Bundles","Heat","BUNDLE-HEAT","","", "6","72","","Bundle","HeatMax 5.5kW heater, unions, valves, 1.5\" flex PVC kit","618","","28","Multiple cartons","","","bundle,heat","bundle-heat-6ft","draft","Inline heater and plumbing kit sized for stock tanks."
"BUNDLE-HEAT-096","Heat Kit — 8 ft","Bundles","Heat","BUNDLE-HEAT","","", "8","96","","Bundle","HeatMax 5.5kW heater, unions, valves, 1.5\" flex PVC kit","618","","28","Multiple cartons","","","bundle,heat","bundle-heat-8ft","draft","Inline heater and plumbing kit sized for stock tanks."
"BUNDLE-HEAT-120","Heat Kit — 10 ft","Bundles","Heat","BUNDLE-HEAT","","", "10","120","","Bundle","HeatMax 5.5kW heater, unions, valves, 1.5\" flex PVC kit","618","","28","Multiple cartons","","","bundle,heat","bundle-heat-10ft","draft","Inline heater and plumbing kit sized for stock tanks."
"HH-BUN-072-WS-CH","WarmStart Bundle — 6 ft — Charcoal","Bundles","WarmStart","HH-BUN","HeatHalo","", "6","72","Charcoal","Bundle","SoftWrap (Charcoal) + Base Pad","719","","30","30x24x16","In-house","","bundle,warmstart,insulation","warmstart-bundle-6ft-charcoal","draft","Save ~10% with the SoftWrap + Base Pad combo."
"HH-BUN-096-WS-CH","WarmStart Bundle — 8 ft — Charcoal","Bundles","WarmStart","HH-BUN","HeatHalo","", "8","96","Charcoal","Bundle","SoftWrap (Charcoal) + Base Pad","989","","42","34x26x16","In-house","","bundle,warmstart,insulation","warmstart-bundle-8ft-charcoal","draft","Save ~10% with the SoftWrap + Base Pad combo."
"HH-BUN-120-WS-CH","WarmStart Bundle — 10 ft — Charcoal","Bundles","WarmStart","HH-BUN","HeatHalo","", "10","120","Charcoal","Bundle","SoftWrap (Charcoal) + Base Pad","1219","","54","38x28x16","In-house","","bundle,warmstart,insulation","warmstart-bundle-10ft-charcoal","draft","Save ~10% with the SoftWrap + Base Pad combo."
"BUNDLE-FULL-072","Full Spa Kit — 6 ft","Bundles","Full","BUNDLE-FULL","","", "6","72","","Bundle","Pool (Hastings Steel), HeatHalo SoftWrap (Charcoal), Base Pad, Inflatable Cover, Intex Sand Filter 16\", Intex SWG 15 g/hr, HeatMax 5.5kW heater, plumbing kit","2612","","240","Multiple cartons","Mixed","","bundle,full-spa","bundle-full-spa-6ft","draft","Everything you need for a heated, filtered, saltwater stock-tank spa."
"BUNDLE-FULL-096","Full Spa Kit — 8 ft","Bundles","Full","BUNDLE-FULL","","", "8","96","","Bundle","Pool (Hastings Steel), HeatHalo SoftWrap (Charcoal), Base Pad, Inflatable Cover, Intex Sand Filter 16\", Intex SWG 15 g/hr, HeatMax 5.5kW heater, plumbing kit","3112","","278","Multiple cartons","Mixed","","bundle,full-spa","bundle-full-spa-8ft","draft","Everything you need for a heated, filtered, saltwater stock-tank spa."
"BUNDLE-FULL-120","Full Spa Kit — 10 ft","Bundles","Full","BUNDLE-FULL","","", "10","120","","Bundle","Pool (Hastings Steel), HeatHalo SoftWrap (Charcoal), Base Pad, Inflatable Cover, Intex Sand Filter 16\", Intex SWG 15 g/hr, HeatMax 5.5kW heater, plumbing kit","3712","","365","Multiple cartons","Mixed","","bundle,full-spa","bundle-full-spa-10ft","draft","Everything you need for a heated, filtered, saltwater stock-tank spa."
"SVC-INSTALL-WRAP","Installation — HeatHalo Wrap (any size)","Services","","services","","", "","","","Service","","199","","","","","","service,installation","installation-—-heathalo-wrap-any-size","draft","On-site install of wrap and base pad; fit & strap tune."
"SVC-INSTALL-HEAT","Installation — Heater & Pump Hookup","Services","","services","","", "","","","Service","","299","","","","","","service,installation","installation-—-heater-&-pump-hookup","draft","Heater hookup, priming, and leak check (hardware not included)."
"SVC-INSTALL-FULL","Installation — Full Stock-Tank Spa Package","Services","","services","","", "","","","Service","","599","","","","","","service,installation","installation-—-full-stock-tank-spa-package","draft","Wrap, base pad, heater/pump hookup, system test."
"SVC-RENTAL-COMFORT","Rental Add-on — Comfort Package (weekly)","Services","","services","","", "","","","Service","","79","","","","","","service,installation","rental-add-on-—-comfort-package-weekly","draft","Wrap + base pad during rental period (with install)."
